[1721390961583]  [Main]:Running test
[1721390962851]  [TestTask]:Thread:Thread[#29,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@262b2c86
[1721390962851]  [TestTask]:Thread:Thread[#28,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@13c27452
[1721390962852]  [TestTask]:Thread:Thread[#30,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@371a67ec
[1721390962852]  [TestTask]:Thread:Thread[#27,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@12f41634
[1721391082850]  [TestTask]:Thread:Thread[#27,pool-1-thread-1,5,main] executed 361700 inserts
[1721391082851]  [TestTask]:Thread:Thread[#29,pool-1-thread-3,5,main] executed 362160 inserts
[1721391082851]  [TestTask]:Thread:Thread[#28,pool-1-thread-2,5,main] executed 361443 inserts
[1721391082852]  [TestTask]:Thread:Thread[#30,pool-1-thread-4,5,main] executed 362286 inserts
[1721391082855]  [Main]:Total inserts:1447589
[1721391082855]  [Main]:Connections in pool:5
[1721391142804]  [CleanupTask]:Running cleanup task for [5] connections
[1721391142809]  [CleanupTask]:Closed 1 connections
[1721391322805]  [CleanupTask]:Running cleanup task for [4] connections
[1721391322808]  [CleanupTask]:Closed 4 connections
[1721391502806]  [CleanupTask]:Running cleanup task for [0] connections
[1721391502806]  [CleanupTask]:Closed 0 connections
[1721391682818]  [CleanupTask]:Running cleanup task for [0] connections
[1721391682819]  [CleanupTask]:Closed 0 connections


[1721393783028]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes one connection after a run, after two runs closes all connections
[1721393783049]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] Assign 4 distinct connections on first run of the task, on second run to create 4 connection
[1721393784334]  [Main]:Connections in pool:5
[1721393784390]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@5bfbf16f
[1721393784390]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@25af5db5
[1721393784392]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@59906517
[1721393784394]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@12cdcf4
[1721393904390]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] executed 351594 inserts
[1721393904390]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] executed 352670 inserts
[1721393904390]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] executed 350406 inserts
[1721393904393]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] executed 350700 inserts
[1721393904393]  [TestTask]:Total inserts:1405370
[1721393964331]  [CleanupTask]:Running cleanup task for [5] connections
[1721393964335]  [CleanupTask]:Closed 1 connections
[1721394144331]  [CleanupTask]:Running cleanup task for [4] connections
[1721394144333]  [CleanupTask]:Closed 4 connections
[1721394144913]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@3411e182
[1721394145097]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@67f998d8
[1721394145243]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@4a4cfb50
[1721394145356]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@41360576
[1721394264864]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] executed 366834 inserts
[1721394264864]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] executed 363950 inserts
[1721394264864]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] executed 365016 inserts
[1721394264864]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] executed 364534 inserts
[1721394264865]  [TestTask]:Total inserts:1460334
[1721394324332]  [CleanupTask]:Running cleanup task for [4] connections
[1721394324332]  [CleanupTask]:Closed 0 connections
[1721394504341]  [CleanupTask]:Running cleanup task for [4] connections
[1721394504343]  [CleanupTask]:Closed 4 connections
[1721394505420]  [TestTask]:Thread:Thread[#36,pool-3-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@7b8059c4
[1721394505476]  [TestTask]:Thread:Thread[#39,pool-3-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@6cc6fc43
[1721394505553]  [TestTask]:Thread:Thread[#38,pool-3-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@4d4bf0af
[1721394505634]  [TestTask]:Thread:Thread[#37,pool-3-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@46fa2a8b
[1721394625377]  [TestTask]:Thread:Thread[#39,pool-3-thread-4,5,main] executed 394500 inserts
[1721394625377]  [TestTask]:Thread:Thread[#36,pool-3-thread-1,5,main] executed 397067 inserts
[1721394625377]  [TestTask]:Thread:Thread[#38,pool-3-thread-3,5,main] executed 396966 inserts
[1721394625377]  [TestTask]:Thread:Thread[#37,pool-3-thread-2,5,main] executed 397023 inserts
[1721394625378]  [TestTask]:Total inserts:1585556
[1721394684342]  [CleanupTask]:Running cleanup task for [4] connections
[1721394684342]  [CleanupTask]:Closed 0 connections
[1721394864354]  [CleanupTask]:Running cleanup task for [4] connections
[1721394864356]  [CleanupTask]:Closed 4 connections


[1721395689535]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes one connection after a run, after two runs closes all connections
[1721395689557]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] Assign 4 distinct connections on first run of the task, on second run to create 4 connection
[1721395690517]  [TestTask]:Connections in pool:5
[1721395690528]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@cb51256
[1721395690529]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@6043cd28
[1721395690529]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@42d8062c
[1721395690530]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@59906517
[1721395810522]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] released it's connection
[1721395810528]  [TestTask]:Thread:Thread[#28,pool-1-thread-1,5,main] executed 371196 inserts
[1721395810529]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] released it's connection
[1721395810529]  [TestTask]:Thread:Thread[#30,pool-1-thread-3,5,main] executed 372230 inserts
[1721395810529]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] released it's connection
[1721395810530]  [TestTask]:Thread:Thread[#29,pool-1-thread-2,5,main] executed 373375 inserts
[1721395810530]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] released it's connection
[1721395810530]  [TestTask]:Thread:Thread[#31,pool-1-thread-4,5,main] executed 374270 inserts
[1721395810531]  [TestTask]:Total inserts:1491071
[1721395870526]  [CleanupTask]:Running cleanup task for [5] connections
[1721395870529]  [CleanupTask]:Closed 1 connections
[1721396050526]  [CleanupTask]:Running cleanup task for [4] connections
[1721396050529]  [CleanupTask]:Closed 4 connections
[1721396051012]  [TestTask]:Connections in pool:0
[1721396051102]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@280dd045
[1721396051105]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@6407b81b
[1721396051122]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@67adb83
[1721396051299]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@48806033
[1721396171014]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] released it's connection
[1721396171014]  [TestTask]:Thread:Thread[#34,pool-2-thread-3,5,main] executed 357363 inserts
[1721396171015]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] released it's connection
[1721396171015]  [TestTask]:Thread:Thread[#32,pool-2-thread-1,5,main] executed 356756 inserts
[1721396171016]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] released it's connection
[1721396171016]  [TestTask]:Thread:Thread[#33,pool-2-thread-2,5,main] executed 356074 inserts
[1721396171017]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] released it's connection
[1721396171017]  [TestTask]:Thread:Thread[#35,pool-2-thread-4,5,main] executed 357747 inserts
[1721396171017]  [TestTask]:Total inserts:1427940
[1721396230526]  [CleanupTask]:Running cleanup task for [4] connections
[1721396230527]  [CleanupTask]:Closed 0 connections

[1721397590943]  [Main]:[TEST_CLEANUP] [EXPECTING] Closes no connections
[1721397590970]  [Main]:[TEST_CONNECTION_ASSIGNATION] [EXPECTING] 9 connections to be assigned, max_connection_limmit
[1721397591673]  [TestTask]:Connections in pool:3
[1721397591683]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] has connection:org.postgresql.jdbc.PgConnection@42d8062c
[1721397591684]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] has connection:org.postgresql.jdbc.PgConnection@6043cd28
[1721397591693]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] has connection:org.postgresql.jdbc.PgConnection@cb51256
[1721397592440]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] has connection:org.postgresql.jdbc.PgConnection@3911f519
[1721397593001]  [TestTask]:Thread:Thread[#30,pool-1-thread-6,5,main] has connection:org.postgresql.jdbc.PgConnection@45b3bcce
[1721397594168]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] has connection:org.postgresql.jdbc.PgConnection@2a89103f
[1721397594238]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] has connection:org.postgresql.jdbc.PgConnection@1d82e7d5
[1721397594624]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] has connection:org.postgresql.jdbc.PgConnection@3262f3cc
[1721397594767]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] has connection:org.postgresql.jdbc.PgConnection@33054e96
[1721397594871]  [TestTask]:Thread:Thread[#34,pool-1-thread-10,5,main] has connection:org.postgresql.jdbc.PgConnection@3f1231e4
[1721397651678]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] released it's connection
[1721397651685]  [TestTask]:Thread:Thread[#25,pool-1-thread-1,5,main] executed 100218 inserts
[1721397651686]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] released it's connection
[1721397651686]  [TestTask]:Thread:Thread[#26,pool-1-thread-2,5,main] executed 101066 inserts
[1721397651693]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] released it's connection
[1721397651693]  [TestTask]:Thread:Thread[#29,pool-1-thread-5,5,main] executed 98409 inserts
[1721397651694]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] released it's connection
[1721397651694]  [TestTask]:Thread:Thread[#28,pool-1-thread-4,5,main] executed 99613 inserts
[1721397651695]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] released it's connection
[1721397651696]  [TestTask]:Thread:Thread[#31,pool-1-thread-7,5,main] executed 94883 inserts
[1721397651696]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] released it's connection
[1721397651697]  [TestTask]:Thread:Thread[#33,pool-1-thread-9,5,main] executed 93895 inserts
[1721397651697]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] released it's connection
[1721397651697]  [TestTask]:Thread:Thread[#32,pool-1-thread-8,5,main] executed 95455 inserts
[1721397651698]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] released it's connection
[1721397651698]  [TestTask]:Thread:Thread[#27,pool-1-thread-3,5,main] executed 94717 inserts
